OT;NV/GOM;DIRECCION;CONTRATISTA;COMUNA;ZONAL;ITO;FECHA_INSPECCION;TIPO_TRABAJO;SUPERVISOR;HAY HALLAZGO;INCIDENCIA;NOMBRE DE INCIDENCIA;TIPO;HALLAZGO;OBSERVACION;TOTAL_HALLAZGO;MES;AÑO;TIPO_OBRA
2865134;NV;EL GUALLE N° 7815;ENERPA;LA FLORIDA;FLORIDA;JAIME SOTO;2021-09-10;SUBTERRÁNEA;JOSE NILO;NO;;;;;;0;SEPTIEMBRE;2021;OO.CC
2853905;NV;PEDRO OÑA N° 35;ENERPA;ÑUÑOA;FLORIDA;JAIME SOTO;2021-09-10;SUBTERRÁNEA;ISADU NILO;NO;;;;CÁMARA DM-2217, NIDOS CON ENFIERRADURA A LA VISTA.;;0;SEPTIEMBRE;2021;OO.CC
2853905;NV;PEDRO OÑA N° 35;ENERPA;ÑUÑOA;FLORIDA;JAIME SOTO;2021-09-10;SUBTERRÁNEA;ISADU NILO;NO;;;;RETIRO DE HORMIGÓN DE MUROS DE DM-2217;;0;SEPTIEMBRE;2021;OO.CC
2853905;NV;PEDRO OÑA N° 35;ENERPA;ÑUÑOA;FLORIDA;JAIME SOTO;2021-09-10;SUBTERRÁNEA;ISADU NILO;NO;;;;MALA TERMINACION EN BOQUILLAS EN DM-2293 + DM-2308;;0;SEPTIEMBRE;2021;OO.CC
2853905;NV;PEDRO OÑA N° 35;ENERPA;ÑUÑOA;FLORIDA;JAIME SOTO;2021-09-10;SUBTERRÁNEA;ISADU NILO;NO;;;;TERMINACION DE VIGA DE HORMIGÓN;;0;SEPTIEMBRE;2021;OO.CC
2855290;NV;OBISPO ARTURO ESPINOZA N° 2231;BUREAU VERITAS (ESPECTRO);MACUL;FLORIDA;JAIME SOTO;2021-09-15;SUBTERRÁNEA;MANUEL LAZO;NO;;;;TERMINACION DE BOQUILLAS NO SE PUEDEN MEJORAR YA QUE EXISTEN OO.EE EJECUTADAS;;0;SEPTIEMBRE;2021;OO.CC
2878542;NV;ALVARO CASANOVA N° 4172 N° 3;BUREAU VERITAS (EMYLEC);PEÑALOLÉN;FLORIDA;JAIME SOTO;2021-09-21;SUBTERRÁNEA;BRIAN PONCE DE LEÓN;NO;;;;PISO DE CAMARA CON OBSERVACIONES, PISO CON RESTOS DE HORMIGON Y SIN PENDIENTE SEGÚN NORMA;;0;SEPTIEMBRE;2021;OO.CC
2878542;NV;ALVARO CASANOVA N° 4172 N° 3;BUREAU VERITAS (EMYLEC);PEÑALOLÉN;FLORIDA;JAIME SOTO;2021-09-21;SUBTERRÁNEA;BRIAN PONCE DE LEÓN;NO;;;;PENDIENTE CORTES EN ACERA.;;0;SEPTIEMBRE;2021;OO.CC
177132;ID;AV DEPARTAMENTAL N° 1475;BUREAU VERITAS (SCN);LA FLORIDA;FLORIDA;JAIME SOTO;2021-10-04;SUBTERRÁNEA;LUIS SANDOVAL;NO;;;;PENDIENTE INSTALACION DE TAPAS;;0;OCTUBRE;2021;OO.CC
177132;ID;AV DEPARTAMENTAL N° 1475;BUREAU VERITAS (SCN);LA FLORIDA;FLORIDA;JAIME SOTO;2021-10-04;SUBTERRÁNEA;LUIS SANDOVAL;NO;;;;PENDIENTE INSTALACION DE LOGOS;;0;OCTUBRE;2021;OO.CC
2839433;NV;EL GUALLE 8039;BUREAU VERITAS (FOCUS);LA FLORIDA;FLORIDA;JAIME SOTO;2021-10-07;SUBTERRÁNEA;LUIS SANDOVAL;NO;;;;PENDIENTE REMATES AL INTERIOR DE CAMARA;;0;OCTUBRE;2021;OO.CC
2895012;NV;ZAÑARTU N° 1111;INGEVEC;ÑUÑOA;FLORIDA;JAIME SOTO;2021-10-19;SUBTERRÁNEA;GUILLERMO PERALTA;NO;;;;PISO DE CAMARA SIN LA PENDIENTE CORRSPONDIENTE;;0;OCTUBRE;2021;OO.CC
2895012;NV;ZAÑARTU N° 1111;INGEVEC;ÑUÑOA;FLORIDA;JAIME SOTO;2021-10-19;SUBTERRÁNEA;GUILLERMO PERALTA;NO;;;;LATERAL A POSTE 4X90MM SOLO 0,30 INSTALADO, PROYECTADO INDICA 3MT;;0;OCTUBRE;2021;OO.CC
2895012;NV;ZAÑARTU N° 1111;INGEVEC;ÑUÑOA;FLORIDA;JAIME SOTO;2021-10-19;SUBTERRÁNEA;GUILLERMO PERALTA;NO;;;;SOLO UNA TIERRA INSTALADA Y LA EXISTENTE FUERA DE NORMA ENEL;;0;OCTUBRE;2021;OO.CC
2865346;NV;PEDRO RICO 5479;ENERPA;ÑUÑOA;FLORIDA;JAIME SOTO;2021-10-22;SUBTERRÁNEA;JOSE NILO;NO;;;;;;0;OCTUBRE;2021;OO.CC
2828888;NV;BRIONES LUCO N° 236;INGEVEC;LA CISTERNA;FLORIDA;JAIME SOTO;2021-10-25;SUBTERRÁNEA;NICOLAS URRUTIA;NO;;;;CUELLO DE CÁMARA FUERA DE NORMA;;0;OCTUBRE;2021;OO.CC
